HomeTeam,AwayTeam
Burnley,Man City
Arsenal,Nott'm Forest
Bournemouth,West Ham
Everton,Fulham
Sheffield United,Crystal Palace
Newcastle,Aston Villa
Brentford,Tottenham
Chelsea,Liverpool
Man United,Wolves
Nott'm Forest,Sheffield United
Fulham,Brentford
Liverpool,Bournemouth
Wolves,Brighton
Tottenham,Man United
Man City,Newcastle
Aston Villa,Everton
West Ham,Chelsea
Crystal Palace,Arsenal
Bournemouth,Tottenham
Arsenal,Fulham
Brentford,Crystal Palace
Everton,Wolves
Man United,Nott'm Forest
Brighton,West Ham
Burnley,Aston Villa
Sheffield United,Man City
Newcastle,Liverpool
Sheffield United,Everton
Brentford,Bournemouth
Burnley,Tottenham
Chelsea,Nott'm Forest
Man City,Fulham
Brighton,Newcastle
Crystal Palace,Wolves
Liverpool,Aston Villa
Arsenal,Man United
Wolves,Liverpool
Aston Villa,Crystal Palace
Man United,Brighton
Tottenham,Sheffield United
West Ham,Man City
Newcastle,Brentford
Bournemouth,Chelsea
Everton,Arsenal
Nott'm Forest,Burnley
Crystal Palace,Fulham
Man City,Nott'm Forest
Brentford,Everton
Burnley,Man United
Arsenal,Tottenham
Brighton,Bournemouth
Chelsea,Aston Villa
Liverpool,West Ham
Sheffield United,Newcastle
Aston Villa,Brighton
Bournemouth,Arsenal
Man United,Crystal Palace
Newcastle,Burnley
West Ham,Sheffield United
Wolves,Man City
Tottenham,Liverpool
Nott'm Forest,Brentford
Fulham,Chelsea
Burnley,Chelsea
Everton,Bournemouth
Fulham,Sheffield United
Man United,Brentford
Crystal Palace,Nott'm Forest
Brighton,Liverpool
West Ham,Newcastle
Wolves,Aston Villa
Arsenal,Man City
Liverpool,Everton
Bournemouth,Wolves
Brentford,Burnley
Man City,Brighton
Newcastle,Crystal Palace
Chelsea,Arsenal
Sheffield United,Man United
Aston Villa,West Ham
Tottenham,Fulham
Crystal Palace,Tottenham
Chelsea,Brentford
Arsenal,Sheffield United
Bournemouth,Burnley
Wolves,Newcastle
West Ham,Everton
Brighton,Fulham
Liverpool,Nott'm Forest
Man United,Man City
Fulham,Man United
Brentford,West Ham
Burnley,Crystal Palace
Everton,Brighton
Man City,Bournemouth
Sheffield United,Wolves
Newcastle,Arsenal
Nott'm Forest,Aston Villa
Tottenham,Chelsea
Wolves,Tottenham
Arsenal,Burnley
Crystal Palace,Everton
Bournemouth,Newcastle
Aston Villa,Fulham
Brighton,Sheffield United
Liverpool,Brentford
West Ham,Nott'm Forest
Chelsea,Man City
Man City,Liverpool
Burnley,West Ham
Newcastle,Chelsea
Nott'm Forest,Brighton
Sheffield United,Bournemouth
Brentford,Arsenal
Tottenham,Aston Villa
Everton,Man United
Fulham,Wolves
